aruco x center px,aruco y center px,aruco z center px,aruco area px,aruco top left corner x px,aruco top left corner y px,aruco top right corner x px,aruco top right corner y px,aruco bottom right corner x px,aruco bottom right corner y px,aruco bottom left corner x px,aruco bottom left corner y px,aruco x center meters,aruco y center meters,aruco z center meters,aruco rot roll (deg),aruco rot pitch (deg),aruco rot yaw (deg)
10.02872157,-319.5,-26,380,310,17,328,17,329,35,310,36,2.678,0,1.35,0,0,0
10.14549634,-320,-81.5,390,311,72,330,73,329,91,310,91,2.678,0,0.805,0,0,0
10.27714417,-213.5,-84,381,204,75,222,74,223,93,205,94,2.678,1.071,0.805,0,0,0
8.817392439,-384.5,-70.5,529,374,59,396,60,395,82,374,82,2.34,-0.55,0.805,0,0,0
10.20861344,-185.5,-91.5,390,176,82,194,82,195,101,176,101,2.679,1.3,0.805,0,0,0
7.720827653,-269.5,-92.5,689,257,80,282,80,282,105,256,105,2.02,0.32,0.59,0,0,0
4.699283998,-476,-41.5,1966,458,18,500,20,494,65,453,63,1.27,-0.75,0.59,0,0,0
17.79453528,-315.5,-137,115,311,132,321,132,320,142,310,141,4.738,0,0.59,0,0,0
13.7463523,-310,-128.5,205,304,121,317,123,316,136,303,135,3.608,0,0.59,0,0,0
6.884141951,-311.5,-84.5,857,297,71,325,70,326,98,298,100,1.81,0,0.59,0,0,0
17.21938434,-349.5,-135.5,127,345,130,355,131,354,141,344,141,4.54,-0.59,0.59,0,0,0
13.53477876,-359.5,-126,210,353,119,366,119,366,133,353,133,3.548,-0.58,0.59,0,0,0
10.23776409,-373.5,-111,391,365,101,383,102,382,121,364,121,2.678,-0.58,0.59,0,0,0
8.260095954,-389.5,-98,582,379,85,402,88,400,111,377,108,2.138,-0.58,0.59,0,0,0
5.006509614,-434,-48.5,1619,415,28,453,29,453,69,415,69,1.33,-0.58,0.59,0,0,0
18.3479758,-378,-137.5,110,373,133,383,133,383,142,373,142,4.278,-1.1,0.59,0,0,0
13.8700156,-402,-126,197,396,119,409,120,408,133,395,132,3.618,-1.1,0.59,0,0,0
10.33080626,-414,-113,380,423,122,404,122,405,104,424,104,2.678,-1.1,0.59,0,0,0
